Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women,Original Industry
medallia-careers-30869,Software & Services,-,53%,Technology
broadridge-financial-solutions-careers-1760,Commercial & Professional Services,36%,28%,Technology
general-dynamics-advanced-information-systems-careers-1563274,Software & Services,30%,8%,Technology
acumen-solutions-careers-620194,Commercial & Professional Services,46%,36%,Technology
google-careers-24972,Software & Services,40%,41%,Technology
eplus-careers-4007,Commercial & Professional Services,38%,30%,Technology
science-applications-international-careers-10153,Commercial & Professional Services,35%,38%,Technology
general-datatech-careers-24427,Software & Services,26%,-,Technology
ebay-careers-3708,Software & Services,46%,49%,Technology
travelport-careers-42229,Consumer Services,-,16%,Technology
synopsys-careers-11121,Software & Services,35%,36%,Technology
juniper-networks-careers-6411,Technology Hardware & Equipment,32%,27%,Technology
infineon-technologies-careers-382952,Technology Hardware & Equipment,30%,39%,Technology
ch2m-hill-companies-careers-18758,Diversified Financials,32%,29%,Technology
rapid7-careers-9623,Software & Services,35%,36%,Technology
intel-careers-6055,Software & Services,27%,40%,Technology
nice-systems-careers-222611,-,-,36%,Technology
pegasystems-careers-8899,Software & Services,-,40%,Technology
oberon-associates-careers-33464,-,26%,-,Technology
rsa-security-careers-37139,-,35%,13%,Technology
adt-security-services-careers-307590,-,46%,24%,Technology
ipc-systems-careers-27663,Software & Services,35%,15%,Technology
meta-careers-4188,Software & Services,44%,35%,Technology
arm-careers-1083593,-,39%,27%,Technology
booz-allen-hamilton-careers-1664,Commercial & Professional Services,39%,33%,Technology
bloomberg-careers-16946,Software & Services,33%,23%,Technology
mantech-international-careers-7066,Commercial & Professional Services,28%,26%,Technology
lmi-aerospace-careers-29727,Commercial & Professional Services,27%,17%,Technology
rockwell-automation-careers-9910,Software & Services,31%,30%,Technology
citrix-systems-careers-2511,Software & Services,34%,42%,Technology
mainline-information-systems-careers-30183,Commercial & Professional Services,33%,30%,Technology
openlink-financial-careers-33767,Software & Services,27%,-,Technology
oracle-careers-8576,Software & Services,32%,24%,Technology
dassault-falcon-jet-careers-20949,Capital Goods,20%,-,Technology
arrow-electronics-careers-951,Consumer Durables & Apparel,39%,36%,Technology
koniag-careers-28860,Diversified Financials,43%,50%,Technology
microsoft-careers-7480,Software & Services,34%,31%,Technology
vmware-careers-12537,Software & Services,31%,33%,Technology
micron-technology-careers-7472,Technology Hardware & Equipment,26%,25%,Technology
netapp-careers-8005,Software & Services,31%,24%,Technology
yulista-holding-careers-45217,-,38%,29%,Technology
roku-careers-1406115,Software & Services,-,21%,Technology
red-hat-careers-9680,Software & Services,38%,22%,Technology
kronos-careers-28917,Software & Services,41%,20%,Technology
software-ag-usa-careers-38723,-,40%,17%,Technology
veeva-systems-careers-12342,Software & Services,41%,25%,Technology
availity-careers-15889,Software & Services,-,40%,Technology
spok-careers-39169,Software & Services,33%,38%,Technology
western-digital-careers-12753,Software & Services,25%,36%,Technology
nvidia-careers-8376,Software & Services,-,29%,Technology
fireeye-careers-4343,Consumer Services,36%,24%,Technology
digital-management-careers-21448,Software & Services,38%,-,Technology
chenega-careers-18902,Software & Services,34%,24%,Technology
applied-materials-careers-838,Technology Hardware & Equipment,25%,27%,Technology
spectra-energy-enterprises-careers-39103,-,36%,17%,Technology
vse-careers-12570,Commercial & Professional Services,28%,27%,Technology
csg-careers-3111,Software & Services,43%,31%,Technology
cumberland-consulting-group-careers-1317064,Commercial & Professional Services,51%,19%,Technology
lexmark-international-careers-29467,Software & Services,-,33%,Technology
mission-essential-careers-31636,Commercial & Professional Services,22%,-,Technology
forsythe-technology-careers-23786,-,39%,18%,Technology
informatica-careers-27220,Software & Services,35%,36%,Technology
ultimate-software-group-careers-11538,Software & Services,43%,21%,Technology
apple-careers-825,Consumer Durables & Apparel,38%,40%,Technology
kbr-careers-6462,Commercial & Professional Services,19%,25%,Technology
salient-crgt-careers-37456,Software & Services,45%,11%,Technology
the-aerospace-careers-40834,Capital Goods,30%,43%,Technology
fortinet-careers-4655,Software & Services,-,24%,Technology
amd-careers-227,-,30%,37%,Technology
