Job Title,Company Name,Date,Job Link
EXECUTIVE ASSISTANT MAYOR,City of South Fulton GA,3/13/23,https://www.linkedin.com/jobs/view/executive-assistant-mayor-at-city-of-south-fulton-ga-3525275201?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=nZWacYsBQPd%2BbhoHbAzdEw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Computer Support Specialist I,Charleston County Government,2/13/23,https://www.linkedin.com/jobs/view/computer-support-specialist-i-at-charleston-county-government-3518015312?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=EU77hWLe3A1Ds2SkfUQnDw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
EXECUTIVE ASSISTANT,"City of Douglasville, GA",3/8/23,https://www.linkedin.com/jobs/view/executive-assistant-at-city-of-douglasville-ga-3525631260?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=chKU3gkt1%2BcPUDG3lhEgOQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
SCHOOL RESOURCE OFFICER,Hall County Government,3/14/23,https://www.linkedin.com/jobs/view/school-resource-officer-at-hall-county-government-3529409487?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=RcmpZunT7UILynRBccsRQA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Academic Advisor.,State of Colorado,3/15/23,https://www.linkedin.com/jobs/view/academic-advisor-at-state-of-colorado-3524182628?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=fjwqujTippHmI5NXf3uvqQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
School Counselor,U.S. Department of the Interior,3/6/23,https://www.linkedin.com/jobs/view/school-counselor-at-u-s-department-of-the-interior-3515820648?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=diXIJenfqDPyqUxn8DlzVw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Academic Advisor.,State of Colorado,3/15/23,https://www.linkedin.com/jobs/view/academic-advisor-at-state-of-colorado-3524182628?refId=l3h%2FP6q6dTIBwNC7Pr5RtQ%3D%3D&trackingId=0GZKbiNXYyn8kxYSuuQ6ag%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Laboratory Technician I,Commonwealth of Massachusetts,3/23/23,https://www.linkedin.com/jobs/view/laboratory-technician-i-at-commonwealth-of-massachusetts-3555937339?refId=l3h%2FP6q6dTIBwNC7Pr5RtQ%3D%3D&trackingId=1CK%2FShgxnb14YyVpS7vgPA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Housing Specialist Assistant,City of Virginia Beach,4/3/23,https://www.linkedin.com/jobs/view/housing-specialist-assistant-at-city-of-virginia-beach-3555944291?refId=l3h%2FP6q6dTIBwNC7Pr5RtQ%3D%3D&trackingId=IgHcyVMmrqhVUkJoiqCrNQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Teacher,USDA,2/12/23,https://www.linkedin.com/jobs/view/teacher-at-usda-3519163771?refId=l3h%2FP6q6dTIBwNC7Pr5RtQ%3D%3D&trackingId=ei7%2Fzous9NjkvAhdIoCJ7Q%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
